text,label
郑州荥阳市刘河镇位于郑州南部山区受到严重暴雨灾害全镇受灾群众2300余人后续次生灾害威胁大物资告急现急需生活物资饮用水方便食品蔬菜救灾帐篷被褥衣服雨衣胶鞋卫生棉等救援物资发电机汽柴油应急照明设备消毒防疫物品对讲机和应急药品等垦请社会各界伸出援助之手帮助受灾群众渡过难关捐赠地址刘河镇人民政府联系人刘河镇人大主席 法延钊138 刘河镇党政办 姚雨 1,3
中石油保供点文字版需要的联系,3
救命啊热搜能不能换成互助啊,3
上线可以一键上报求援信息查询附近提供公益救助服务的酒店及避难点互助信息持续更新据悉更多城市的互助地图也在紧急上线中扩散转需加油河南,1
昨天的大雨真的是前所未见下午上班时一路上树都倒了n棵我都感觉很害怕本以为家里已经特别严重了直到昨晚看到郑州的太揪心了打开微博果然全都是在说这次河南暴雨看到人被救出来那一刻真的感觉松了口气可还是有部分人没能幸免愿安息昨晚我哥他们以及好几个单位派出清理我们这边的路段保证下水道畅通家里积水瞬间下了很多瞬间感觉好伟大还要向所有在一线抗洪救灾的英雄致敬看到好多省驰援河南好多企业明星纷纷捐款路人出手相救快被冲跑的人突然觉得这个世界好温暖大家都要注意安全河南加油郑州加油郑州挺,5
提醒避开郑州的宝贝请避开经四路那里有几个变压器因为积水爆炸了漏电了水会导电请避开经四路,6
老人需要物资,3
郑乃馨2郑乃馨大家注意安全要平平安安扩散大家可以在这里填写求助信息大家保护好自己一定一定要平平安安,5
K扩散河南平安扩散河南平安,5
新乡北站有物资大家帮忙扩散一下,3
今天虽然没有下雨天也晴了但是卫辉依旧严重亲人打算从卫辉来新乡我家避难结果107北段淹了二次筑坝过不来返回卫辉昨晚卫辉路面水量突然上涨河水倒灌越来越严重救援队筋疲力尽众多市民只能转移希望能看看卫辉看看周边村庄,4
河南加油一起加油,5
一定要平安大家一定要注意安全平平安安,5
大家如果看到卫辉的求助拜托多看看多转转,3
不是设计缺陷调整需要付费如果买新能源汽车你会选择,2
东三街农业路南边有塌方已断行花园路丰产路东边50米一施工现场有塌方四个方向都已断行陇海铁路桥下穿隧道西三环段秦岭路段桐柏路段嵩山路段均已断行水深约三米华山路全段积水严重车辆无法通行建设路西三环桥下积水严重断行嵩山路积水严重淮河路辖区全段积水严重嵩山南路南三环南边积水严重水深约一米道路断行大学南路南水北调桥两边积水严重水深约一米道路断行京广路航海路积水严重京广路长江路积水严重京广路赣江路积水严重京广路南三环积水严重京广路陇海路积水严重长江路连云路积水严重南三环连云路积水严重南三环紫荆山南路积水严重水深约一米南四环紫荆山南路积水严重水深约一米陇海路一马路地下道南侧辅道积水严重水深约一米京广路淮河路西200米有积水水深约半米京广路全线断行大学路全线断行所有涵洞下穿隧道断行中州郑汴向西至未来路路面水均深110cm二七路一线水深90110cm城北路顺河路100cm紫荆山路商城路向东至塔湾路100cm陇海高架紫荆山至中州大道一层积水严重农业路东三街一层塌方园田路体育路向东20米塌方塌方路段四个方向断行花园路文化路丰庆路南阳路农业路一层北环一层东风路三全路均为积水路段花园路全线三全路全线积水多的五六十厘米少的地方也有三十厘米左右北四环一层全线积水金水东路积水严重水深100CM左右断行CBD区域积水80CM左右断行龙子湖区域积水严重水深100CM左右断行白沙区域积水严重水深120CM左右断行商都路全段积水严重断行东三环隧道积水严重断行北三环隧道积水严重断行东四环积水严重水深130CM断行陇海路一层积水严重,4
不要再给dmzwyf占用公共资源的机会了从这几天的一些热搜来看两者互相掰扯一茬接一茬作为屏幕前的我们并不知道其中有多少水分俗话说一个巴掌拍不响苍蝇不叮无缝的蛋只希望相关部门进入调查并给予相应惩罚二人都迅速退圈不要再占用公共资源应该多一下河南洪水南京疫情等新闻有能力的伸出援助之,2
我在甘肃兰州我祈祷把河南的暴雨分给我们一些,5
七下八上河南主汛期降雨频繁未来一段时间河南依然多雨局部依然会出现极端强降雨河南省气象台预计26到29日信阳驻马店周口商丘开封濮阳新乡鹤壁安阳有大到暴雨局部大暴雨26到28日京广线以东地区风力加大东北风5到6级阵风8到10级大家要及时最新的预警预报信息提前做好防御准备河南新一轮大范围降雨将开,6
全省200多座加油站开启绿色通道,1
巩义急需水消毒液食物发电机巩义市小关镇郑沟一队急需救援物资,3
两万多人的生命隆福国际小区已有人溺水遭难了2万多人生命安全受到威胁,4
平安拜托了拜托了拜托了,5
7月20日河南多地出现罕见强降水天气郑州全市普降特大暴雨严重内涝截至7月22日已造成33人死亡8人失踪腾讯新闻发布河南暴雨一键救援工具可十多个城市及河南省共青团防汛救灾应急值班的救援电话并可一键拨打方便大家求助同时可实时河南省未来两小时降水量点击O腾讯新闻河南暴雨一键救援最全互助信息,1
据悉财政部动支中央预备费先拨付河南省财力补助资金30亿元支持灾后恢复重建工作根据核灾情况再给予必要支持财政部要求河南省及时下拨中央财政补助资金切实加强资金监管充分发挥资金效益做好洪涝灾害救灾和灾后恢复重建工作,4
一定要平平安安,5
7月30日1时20分北京市消防救援总队排水分队在卫辉市半岛城邦小区开展地下车库排水作业来自北京消防特勤支队的50名指战员携带9台浮艇泵和7抬手抬泵在小区内铺设排水干线开展对小区地下车库排水作业目前地下车库的水位距车库入口的上檐有20厘米的距离由此可以判断该地下车库已经全部被水灌满现场已备了充足的油料指战员做好了持久战的准备力争早日将水全部排出L北京消防的微博,1
加油河南天佑中华众志成城共渡难关风雨过后一定有彩虹扩大家千万注意安全,5
扩扩扩水淹到脖子小孩发烧还有新郑机场京广高架G1812请求支援,3
注意避让绕路呀注意避让暴雨天气漏电情况非常危险积水很深的地方最好拿东西探路行走小心暗坑一定要注意安,6
洪水无情人有情一方有难八方支援望平安团结一心积极抗汛共渡难关望平安,5
龚俊俊味仙龚俊GJ暴雨无情牵动人心若举国同心定能集腋成裘每一份绵薄之力都是照亮河南的点点荧光共同祈福河南早日度过难关,5
一方有难八方支援河南加油,5
水灾期间灾区环境恶化蚊蝇大量孳生鼠类随人群迁移聚集生活条件和卫生设施差食物和水源容易受到污染极易导致肠炎痢疾伤寒甲型肝炎霍乱疟疾乙型脑炎流行性出血热钩端螺旋体病食物中毒红眼病皮肤病等多种疾病的发生和流行为了有效预防必须注意个人卫生和环境卫生尤其是饮食饮水卫生让我们每个人都行动起来讲究卫生预防疾病确保灾后无大疫O河南省卫健委特别提醒灾后这3点要,4
前几天网友纷纷为郑州加油现在郑州好转了可不可以继续为鹤壁发声为鹤壁新镇发声淹了五六个村了还在蔓延中,5
郑州受灾后社会各界支援力量自发赶往郑州助力郑州秩序恢复在清淤排污的迷彩队伍里出现了杨根思部队退伍老兵他们从家乡自发赶到郑州成为杨根思连编外党员突击队与部队官兵一起奋战在郑州的大街小巷刚刚达到任务区退伍老兵杨浩与宁俊杰李瑞一行人突然接到群众救援求助一位82岁的老人由于楼内停电和行动不便已被困楼上5天3个老兵立即冲到13楼将老人背下楼这4位老兵是第83集团军杨根思部队退伍军人在新闻上看到此次郑州抗洪的消息后得知自己此前服役的部队也在其中便与老单位取得联系重新披上迷彩服回归战位据了解此次救援和灾后重建任务中杨根思部队中共有10余名社会各界人员8名退伍老兵和6名郑州休假官兵加入到队伍中他们持续发扬三个不相信精神加班加点清淤排污为社区恢复正常秩序争分夺秒胡春峰赵奎郭旭东曹洋何宇,1
洪水无情人有情河南加油姐姐在第一时间就给他们送了物资真的是太给力了好样的,5
7月24日中午河南新乡彩虹桥出现险情在场指挥人员喊话除现役军人退伍军人预备役其他人全部撤出听到这些的喊话很难不让人感动种花家的兔子们,4
陇海路京广路往东200米路南燕蓉希望幼儿园一楼教室已经积水小朋友们被困在幼儿园内13303714630幼儿园联系电话,3
7月27日河南省政府新闻办召开第六场河南省防汛救灾新闻发布会河南省水利厅党组成员申季维就水利部门下一步防汛抗灾的工作重点回答记者提问申季维表示防范台风烟花是近日的重点95名水利专家在各地指导抢险工作并调配了一大批防汛物资设备支援救灾一旦再发现险情将第一时间派出专家调拨物资发挥好技术支撑作用坚决打好这场硬仗L正观视频的微博,6
有两个朋友在新乡高铁附近的润华金地广场那边租房考研已经断水断电粮两天了因为那边人少断请求应急救援也得不到路上积水深两个女生也没法出来买东西线上购物也停运再这样下去很危险请求大家有可以去那边的司机留下联系方式或者请联系我的电话183感谢大家的,3
死垃圾下地狱天郑州的朋友们都保重啊这两天身边去郑州的哥们儿也不少都照顾好自己,5
养老院老人救命啊看看这里养老院老人,3
紧急紧急救援,1
地铁被困地铁被困扩扩扩扩郑州地铁南五里堡站几百人被困,4
扩扩扩王一博,2
卫滨区平原镇丁固城村急需救援需救援,3
信息在原博评论区天啊天呐爷爷在河南巩义市北山口被洪水冲走失联,3
这是携手同行,5
7月28日在广西南宁志愿者们在装载物资送往河南时突然下起了大雨志愿者们迅速拿来篷布在暴雨中用身体奋力支撑帐篷保护即将送往河南受灾地区的爱心物资为在前线的救援人员以及志愿者点豫难而上桂在同心老友粉来了这场困难我们一定能渡过来源新闻夜班L新浪广西的微博,1
z团结一心积极抗汛共渡难关望平安,5
求扩散紧急救援河南省新乡市牧野区王村镇马坊村整个村上千人被困大堤已经溃堤水位上涨极快周围村庄都被淹没老人很多情况紧急无水电食物已核实联系电话村长刘玉祥176如果是救援队请直接打电话村庄信号不好朋友的家在那请帮帮忙一层已经被淹了附近又只有二层的建筑,1
还在等待救援,1
自救很重要自救事项,0
53愿平安祝平安大家一定要注意安全愿平安,5
头条用户名换个视角观天下说BBC记者抹黑郑州水灾是一个有正义感的善良秀才要拯救将被主人杀掉的狗说郑州市民的抵制行动是狗咬秀才恩将仇报出言恶毒低俗这种人还有人性吗希望有关部门依法惩处这种坏人,2
突如其来的暴风雨让人措手不及谁也没有想到从郑州再到新乡雨会下的越来越多不知道下一个承受暴风雨的会是哪一个地方总之希望灾难早日过去愿在外奔波的人们早日回家愿你们平安,5
看齐齐哈尔看看齐齐哈尔没有相关报道吗现在情况如何了啊怎么这么多,4
积水点汇总,0
河南人民现在正处在水深火热之中能不能别再让戏子霸占各大热搜头条了平时没事的时候倒也罢了现在洪水成灾了一群戏子各大头条也不知道这个社会现在怎么了,4
痱子粉爽身粉前线战士需要郑州市惠济区花园路与开元路交叉口路东武警机动支队,3
河南近日极端降水多地内涝严重出行受阻或有慢性病急诊等求医人员被困导致无法前往医院求医如您或家属被困且急需执业医生提供医学支持请微信扫描下方二维码入群描述患者症状群内有执业医生提供公益咨询入群请按如下格式描述患者症状患者姓名患者性别患者年龄患者住址可不提供症状描述既往病史关于我们NCP生命支援由一群医生及公益人发起曾志愿为新冠肺炎患者及家属提供身心健康恢复支持服,3
wyb最美好的顶峰相见,5
河南暴雨互助急,3
龚俊gj一方有难八方支援紧急驰援洪涝灾害暴雨无情洪水来袭洪峰的过境淹没的不仅是房屋道路是老百姓赖以生存的家园我们没办法控制夏天的暴雨但我们也不能对流离失所的人们袖手旁观暴雨引发诸多地质灾害抢险救灾刻不容缓天灾无情人有情物资援助要及时人与人之间的爱不会被洪水击垮灾害或许可怕但洪水猛兽无法冲破人们的众志成城为了支持一线救灾工作为灾区提供生活用品Breath公益站号召俊味仙们加入进来积极参与一方有难八方支援让我们为洪涝灾区送去我们的一份绵薄之力望平安一起捐龚益之路与L网红新闻爆料的微博,5
棒河南加油深夜工作的救援队们辛苦了,5
王一博粉丝实际行动驰援河南大家都要平安啊让爱意远航于暴雨之上暴雨无情人有情生命之梁寄四方王一博粉丝后援会联合多家机构发起专项公益截止昨晚已捐款42248292元进行对救援队救生艇救生衣等重要物资的专项公益捐助果然是什么样我们都在各自所擅长的领域继续努力然后在最高处见L圈内孤帆的微博,5
1000人被困急需皮划艇,3
已经失联三天,3
中国安能第二工程局闻令而动立即启动应急预案抽调41名救援人员携带龙吸水等11台套救援装备从河南夏邑江西南昌江苏常州江西高安江西景德镇等多个方向陆续出发紧急赶赴河南郑州参与救援7月21日下午5点多中国安能第二工程局已受领任务前往内涝险情较重的郑州站西广场进行抽排水抢险作业19时50分中国安能第二工程局11人抢险人员携带1台龙吸水2台指挥车抵达现场指挥所受领任务前往二七区京广路与中原路交叉口地下隧道抽排水20时30分开始抽水抗洪防汛驰援一,1
金水区金水路云酒店13楼需要水和食物儿童多,3
郑州二七区京广中路京广快速路隧道口水已经淹到车顶了快救命吧四个小时了困在车上了,3
物资新乡需要大量的物资,3
鹤壁芝士鹤壁市浚县新镇镇东高宋村急需物资,3
16号开始的河南北部特大暴雨过程在24号前后已经结束但是新乡卫辉等地受到上游洪水压力内涝洪水仍然无法排出目前仍然是一片泽国数十万居民转移来看特派记者霍伟伟叶柏健从临时安置点发回的报道,4
GJ突如其来暴雨袭击河南绵薄之力微小却有力量心系河南西南一起行动西南散粉站本次以龚俊先生200箱银鹭粥品75箱银鹭花生牛奶25箱雀巢茶萃物资委托感谢银鹭所有提供帮忙的工作人员以及当地帮忙的志愿者们同时感谢首都财神庙也感谢参与到本次捐助活动的每一位俊味仙龚益之路与俊同行洪水淹没道路我们陪你度过期盼雨过天晴河南一定,5
99平安平平安安河南加油扩散河南平安,5
以前特别喜欢下雨天但是这次的雨一点都不喜欢从昨天到现在一直都在下没有出门刷朋友圈知道外边水已经没过膝盖了朋友也发消息千叮咛万嘱咐说不要出门从朋友圈知道有的在郑州的朋友同学被困在外边了好的是在24小时营业的超市雨快停希望大家平安,4
46平平安安河南加油扩散河南平安,5
一方有难八方支援我们都是有爱的中国人但是也希望物资和爱心都可以传递给那些真正需要的人们不要被想从中获取利益的人而利用这世界正能量满满爱永恒不变,5
先有王俊凯粉丝捐赠河南水灾500件矿泉水后有王俊凯焕蓝梦想公益基金会出资采购50000箱饮用水和6500箱汤达人泡面品牌方6500箱物资发往河南受灾地区这波双向奔赴是真的值得啊而我是因与神明交错而发光的少女L欢迎来到爱豆评选中心的微博,5
郑州小心漏电,6
博君一肖急河南卫辉因暴雨决堤急需汽艇抽水泵冲锋舟果果们有资源的可以帮帮忙吗,3
1823急需米饭,3
郑州地铁5号线失联者邹德强确认遇难遗体25日在地铁找到伤心泪目,4
芝士八个多月的产妇独自一人在家,3
寻人寻人三天了,3
昨天一天在家里没敢出门听着窗外的暴雨声大的可怕看着楼下的车辆一点点被淹到车顶刷朋友圈刷微博了解消息揪心困在地铁里的那些人那该有多无助这会的郑州是小雨我所在的位置积水已经没了我们一切都好希望所有人都能够平安不想再看到死亡信,5
抗洪防汛驰援一线我在川豫一家防汛救灾项目捐款成功希望我小小的力量和在大大的世界里温暖更多人,5
七老人未来大球场,2
急急急医院求助医生病人都被困且缺少物资,3
需要救援的朋友们QwQ看看这个,3
全瘫老人郑州,3
河南省气象台预报25日夜间西部东部东南部地区有分散性阵雨雷阵雨局部伴有短时强降水短时大风等强对流天气26日京广线以东和西部有阵雨雷阵雨局部伴有短时强降水短时大风等强对流天气其中信阳商丘两地区东部有中雨26日到29日信阳驻马店周口商丘开封濮阳新乡鹤壁安阳有大到暴雨局部大暴雨26到28日京广线以东地区风力加大东北风5到6级阵风8到10级请及时最新的预警预报信息提前做好防御准备登陆我国东南沿海将给长三角地区带来极端降雨由于烟花后期路径存在很大的不确定性所以未来有可能会给河南北部东部东南部地区带来强降雨如果两场强降雨叠加河南省东部地区的压力将增大央视新,6
有漏电的情况一定要避开新乡现在又下大了百货大楼这边已经淹了不要往这边走姜庄街和人民路建设银行旁有漏电,6
郑州阜外华中心医院寻求帮助皮划艇救援征集,3
巩义市康店镇扎裕村需要救援,3
王一博的粉丝真棒,2
谢谢你们真的很好好人会有好报的,5
7月25日台风烟花正面袭击浙江浙江的同学们一定要注意安全啊,5
郑州地铁一号线博学站有一二百人被困面临窒息十万火急,3
截至2021年7月20日7051因降雨全省高速公路禁止危险品运输车辆上站2因降雨禁止七座以上客车上站的路段有连霍高速豫灵站义马站开封东站兰考站商登高速岗李站杞县南站兰南高速二郎庙站尉氏站宁洛高速谭庄站纸店站大广高速开封杜良站通许东站京港澳高速航空港区站郑民高速杏花营站杞县站南林高速安阳开发区站水冶站台辉高速浚县东站浚县西站安罗高速尉氏西站安阳西北绕城高速全线机场高速全线日兰高速全线3因降雨禁止七座以上客车及货车上站的路段有京港澳高速安阳北站鹤壁南站原阳站双鹤湖站新郑站临颍站漯河南站连霍高速中牟站新安西站焦桐高速大峪站汝州东站郑栾高速郏县站尧山西站宁洛高速叶县北站温泉站兰南高速叶县站旧县站二广高速济源北站寄料站下汤西站许广高速平顶山站舞钢南站商南高速杨庄站尹集站晋新高速平原新区东站菏宝高速济源东站济洛高速小浪底北站4因降雨禁止货车上站的路段有晋新高速焦作西站平原新区西站菏宝高速修武东站柏香站焦桐高速焦作西南站温县站郑云高速嘉应观站云台山站5因降雨禁止所有车辆上站的路段有京港澳高速长葛站许昌东区站卫辉站新乡站大广高速长垣站封丘站兰南高速鄢陵北站鄢陵西站盐洛高速鄢陵南站苌庄站菏宝高速邵原站济源南站获嘉站滑县牛屯站盐洛高速君召站宣化站郑栾高速郑州侯寨站禹州南站商登高速古城县衙站园博园站安罗高速官渡站机场东站鄢陵彭店站郑民高速郑庵站姚家站焦桐高速巩义南站白坪站郑云高速广武站许广高速襄城站郑少高速全线郑州绕城高速全线6因匝道积水连霍高速惠济站禁止下站7因匝道积水盐洛高速许昌西站禁止上下站8因山西境内事故南林高速红旗渠站太行大峡谷站向西方向禁止上站红旗渠站分流出省方向车辆请提前绕行省内其他高速公路正常通行6月15日9月30日京港澳高速新乡服务区施工封闭过往车辆请提前选择就近的原阳服务区或鹤壁服务区临时停靠,6
大家辛苦了应援站第三批物资即刻启程真的不知道该怎么夸你们了辛苦了一切顺利,5
今天河南这个暴雨灾情和德国前几天发生的暴雨引发洪水情况很像德国人口密度小也伤亡惨重希望我们河南同胞平安救援人员也辛苦了希望大家都平安不知道视频中的女孩被救起来没ViaViaweibo这就是,5
来看看新乡红十字会23号收到的捐款明细吧7月23日新乡红十字会共收到831笔捐款金额1038万多金额最大的一笔是河南省红十字会金额614万其它的有有新乡本地企业如这几家本地企业十分可贵他们本身也是受灾企业但还是捐出了较大额度款项名单里还有明星如有曾经在新乡工作求学服役的人有身在外地心系家乡的新乡游子有希望河南平安的各省人民金额有多有少都表达了大家对河南的祝福因为这份名单阅读量仅有2000我觉的他们的名字应该让更多的人看的我截取了1000元以上捐款明细表让我们认识一下他们吧微博新知博,5
河南挺住我们同在,5
你永远也不知道意外和明天哪一个会先来一方有难八方支援尽自己的一份绵薄之力希望深受水灾的河南人民能够挺住早日走出困境,5
74祈愿河南一切平安祝平安大家一定要注意安全愿平安,5
中牟县韩寺镇紧急救援请支援水淹到脖子了,1
向救灾的英雄们致敬,5
7月21日凌晨河南共搜救出7人,1
好揪心快帮帮他们吧天呐太揪心了救救,3
卫辉市已经沦陷全部转移,4
比亚迪郑州4S店开放为应急避难场所,1
不要喝生水不要吃洪水接触的一切食物洪涝过后警惕病毒传染,6
扩天哪这个洪水下河洛镇水峪村,4
7月22日下午18时许正值下班高峰期西峡县城突降暴雨导致城区主干道多处积水城市交通几近瘫痪西峡交警全员出动值守在各个深水路口劝返过往群众车辆救助被围困的群众,4
河南三门峡市暴雨引起的洪水,4
五百多箱水和十几箱面包郑州越野车送哪里需要17611111346现在在东区附近,3
为了应对上游来水7月20日晚涡河大寺闸开了6孔闸门以腾空库容减轻洪水压力涡河长380公里是淮河的第二大支流发源于河南省尉氏县流经河南开封太康鹿邑等地随后进入安徽亳州在亳州市境内流经谯城涡阳蒙城于蚌埠市怀远县城附近注入淮河Via亳州晚报L亳州事的微博,4
有一种责任眼中有光肩有担当有一种力量让我们毅然前行逆水而上,5
我想说郑州市经北六路水深已经超一米文博城李南岗附近公寓酒店有塌方风险居民已经全部疏散至陇海铁路胖的停车场但是停车场也已经积水所有人无家可归我趟着深水离开了那边如果水一直疏不出去所有人都会被困在那里出不来,4
王一博粉丝实际行动驰援河南大家都要平安啊让爱意远航于暴雨之上暴雨无情人有情生命之梁寄四方王一博粉丝后援会联合多家机构发起专项公益截止昨晚已捐款42248292元进行对救援队救生艇救生衣等重要物资的专项公益捐助果然是什么样与年少同过梦陪少年折过花L服服帖帖吃瓜的微博,5
随手拍洪水退去之后,4
河南这次真的好严重啊我家那边以前几乎每年都有不同程度的洪灾我现在一看到洪灾就想起以前被洪水困住不能回家的自己,4
在洪灾中伸出去的手就是洪水中的稻草河南加油每个人都要平平安安了归来中国人是最坚强的任何困难都难不倒中国人河南加油,5
正能量艺人和正能量粉丝的最好例证不畏流言坚持做对的事为社会做出贡献就是王一博和王一博粉丝,5
为小啵攒福报我真的哭了姐你很棒他也真的很值得我们喜欢,5
有爱的卖家洪水无情人有情我们会战胜困难的,5
